symbol,display_symbol,provider_symbol,name,exchange,is_etf,raw_type,snapshot_date,last_price,last_volume,avg_volume_20d,dollar_volume,avg_dollar_volume_20d,last_market_date,status,reason,category,provider_name,refreshed_at
A,A,A,"Agilent Technologies, Inc. Common Stock",NYSE,False,stock,2026-05-01,114.52,1009590.0,1825289.5,115618243.41,214201220.24,2026-05-01,passed,,,real,2026-05-01T20:40:38.885329Z
AA,AA,AA,Alcoa Corporation Common Stock,NYSE,False,stock,2026-05-01,62.63,2519112.0,4435940.6,157771987.25,304395984.94,2026-05-01,passed,,,real,2026-05-01T20:40:38.887436Z
AACB,AACB,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,False,stock,2026-05-01,10.38,77000.0,17320.0,799260.0,179654.32,2026-04-30,too_illiquid,Average volume 17320 / dollar volume 799260 did not meet minimum liquidity thresholds.,,real,2026-05-01T20:40:38.889117Z
AACG,AACG,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,False,stock,2026-05-01,1.17,4003.0,15510.15,4683.51,18101.28,2026-05-01,below_min_price,Price 1.17 below minimum 5.0.,,real,2026-05-01T20:40:38.890595Z
AACI,AACI,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,False,stock,2026-05-01,9.93,201.0,43405.05,1995.93,429147.3,2026-05-01,too_illiquid,Average volume 43405 / dollar volume 1995 did not meet minimum liquidity thresholds.,,real,2026-05-01T20:40:38.891185Z
AACO,AACO,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,False,stock,2026-05-01,9.85,204.0,11628.86,2009.4,114512.46,2026-05-01,too_illiquid,Average volume 11628 / dollar volume 2009 did not meet minimum liquidity thresholds.,,real,2026-05-01T20:40:38.891649Z
AAL,AAL,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,False,stock,2026-05-01,11.84,48414582.0,56131579.1,573228658.27,659880014.32,2026-05-01,passed,,,real,2026-05-01T20:40:38.893021Z
AAME,AAME,AAME,Atlantic American Corporation - Common Stock,NASDAQ,False,stock,2026-05-01,2.58,3322.0,11206.1,8570.76,27360.09,2026-05-01,below_min_price,Price 2.58 below minimum 5.0.,,real,2026-05-01T20:40:38.894440Z
AAMI,AAMI,AAMI,Acadian Asset Management Inc. Common Stock,NYSE,False,stock,2026-05-01,65.49,441355.0,351092.75,28904338.01,22641287.77,2026-05-01,passed,,,real,2026-05-01T20:40:38.895836Z
AAOI,AAOI,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,False,stock,2026-05-01,183.51,12794812.0,11536400.6,2347975879.84,1682807117.93,2026-05-01,passed,,,real,2026-05-01T20:40:38.897072Z
AAON,AAON,AAON,"AAON, Inc. - Common Stock",NASDAQ,False,stock,2026-05-01,93.59,482765.0,817263.25,45181974.58,75493899.02,2026-05-01,passed,,,real,2026-05-01T20:40:38.898192Z
AAP,AAP,AAP,Advance Auto Parts Inc.,NYSE,False,stock,2026-05-01,58.93,696058.0,1267962.9,41018698.15,71978455.9,2026-05-01,passed,,,real,2026-05-01T20:40:38.899378Z
AAPG,AAPG,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,False,stock,2026-05-01,23.34,986.0,2709.3,23013.24,66521.84,2026-05-01,too_illiquid,Average volume 2709 / dollar volume 23013 did not meet minimum liquidity thresholds.,,real,2026-05-01T20:40:38.900400Z
AAPL,AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,False,stock,2026-05-01,280.14,76013740.0,45610172.0,21294490237.08,12179046107.66,2026-05-01,passed,,,real,2026-05-01T20:40:38.901503Z
