symbol,display_symbol,provider_symbol,name,exchange,is_etf,is_test_issue,raw_type,source,active
A,A,A,"Agilent Technologies, Inc. Common Stock",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
AA,AA,AA,Alcoa Corporation Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
AAA,AAA,AAA,Alternative Access First Priority CLO Bond ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
AAAA,AAAA,AAAA,Amplius Aggressive Asset Allocation ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AAAC,AAAC,AAAC,Columbia AAA CLO ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
AAAU,AAAU,AAAU,Goldman Sachs Physical Gold ETF Shares,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AACB,AACB,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACBR,AACBR,AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACBU,AACBU,AACBU,Artius II Acquisition Inc. - Units,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACG,AACG,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACI,AACI,AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACIU,AACIU,AACIU,Armada Acquisition Corp. III - Units,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACIW,AACIW,AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACO,AACO,AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACOU,AACOU,AACOU,Abony Acquisition Corp. I - Units,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACOW,AACOW,AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AACPU,AACPU,AACPU,Apogee Acquisition Corp - Units,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AADR,AADR,AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AAEQ,AAEQ,AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AAL,AAL,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AALG,AALG,AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AAME,AAME,AAME,Atlantic American Corporation - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AAMI,AAMI,AAMI,Acadian Asset Management Inc. Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
AAOI,AAOI,AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AAON,AAON,AAON,"AAON, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AAOX,AAOX,AAOX,Tradr 2X Long AAOI Daily ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AAP,AAP,AAP,Advance Auto Parts Inc.,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
AAPB,AAPB,AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AAPD,AAPD,AAPD,Direxion Daily AAPL Bear 1X ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AAPG,AAPG,AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AAPL,AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AAPR,AAPR,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2028,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AAPU,AAPU,AAPU,Direxion Daily AAPL Bull 2X ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AAPW,AAPW,AAPW,Roundhill AAPL WeeklyPay ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AAPX,AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AAPY,AAPY,AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AARD,AARD,AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
AAT,AAT,AAT,"American Assets Trust, Inc. Common Stock",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
AAUA,AAUA,AAUA,Alpha Architect US Equity 3 ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AAUC,AAUC,AAUC,Allied Gold Corporation Common Shares,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
AAUM,AAUM,AAUM,Tema Alternative Asset Managers ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
AAUS,AAUS,AAUS,Alpha Architect US Equity ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AAVM,AAVM,AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AAXJ,AAXJ,AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
AB,AB,AB,AllianceBernstein Holding L.P.  Units,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABAT,ABAT,ABAT,American Battery Technology Company - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABBV,ABBV,ABBV,AbbVie Inc. Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABCB,ABCB,ABCB,Ameris Bancorp Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABCL,ABCL,ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABCS,ABCS,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
ABEO,ABEO,ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABEQ,ABEQ,ABEQ,Absolute Select Value ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ABEV,ABEV,ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABFL,ABFL,ABFL,Abacus FCF Leaders ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ABG,ABG,ABG,Asbury Automotive Group Inc Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABI,ABI,ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
ABIG,ABIG,ABIG,Argent Large Cap ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
ABLD,ABLD,ABLD,Abacus FCF Real Assets Leaders ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ABLG,ABLG,ABLG,Abacus FCF International Leaders ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ABLS,ABLS,ABLS,Abacus FCF Small Cap Leaders ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ABLV,ABLV,ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABLVW,ABLVW,ABLVW,Able View Global Inc. - Warrant,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABM,ABM,ABM,ABM Industries Incorporated Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABNB,ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABNG,ABNG,ABNG,Leverage Shares 2x Long ABNB Daily ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
ABNY,ABNY,ABNY,YieldMax ABNB Option Income Strategy ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ABOS,ABOS,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABOT,ABOT,ABOT,Abacus FCF Innovation Leaders ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ABR,ABR,ABR,Arbor Realty Trust Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABR$D,ABR$D,ABR$D,"Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per Share",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABR$E,ABR$E,ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABR$F,ABR$F,ABR$F,"Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABSI,ABSI,ABSI,Absci Corporation - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABT,ABT,ABT,Abbott Laboratories Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABTC,ABTC,ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABTS,ABTS,ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABUF,ABUF,ABUF,Aptus Laddered Buffer ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ABUS,ABUS,ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABVC,ABVC,ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABVE,ABVE,ABVE,Above Food Ingredients Inc. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABVEW,ABVEW,ABVEW,Above Food Ingredients Inc. - Warrant,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABVX,ABVX,ABVX,Abivax SA - American Depositary Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ABX,ABX,ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ABXB,ABXB,ABXB,Abacus Flexible Bond Leaders ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ABXL,ABXL,ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACA,ACA,ACA,"Arcosa, Inc. Common Stock",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACAA,ACAA,ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACAAU,ACAAU,ACAAU,Averin Capital Acquisition Corp. - Units,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACAAW,ACAAW,ACAAW,Averin Capital Acquisition Corp. - Warrants,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACAD,ACAD,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACB,ACB,ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACCL,ACCL,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACCO,ACCO,ACCO,Acco Brands Corporation Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACCS,ACCS,ACCS,ACCESS Newswire Inc. Common Stock,NYSE American,False,False,stock,nasdaqtrader:otherlisted,True
ACDC,ACDC,ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACEI,ACEI,ACEI,Innovator Equity Autocallable Income Strategy ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACEL,ACEL,ACEL,"Accel Entertainment, Inc.",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACEP,ACEP,ACEP,ARS Core Equity Portfolio ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
ACES,ACES,ACES,ALPS Clean Energy ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACET,ACET,ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACFN,ACFN,ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACGCU,ACGCU,ACGCU,ACP Holdings Acquisition Corp. - Units,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACGL,ACGL,ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACGLN,ACGLN,ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACGLO,ACGLO,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACGR,ACGR,ACGR,American Century Large Cap Growth ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACH,ACH,ACH,"Accendra Health, Inc. Common Stock",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACHC,ACHC,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACHR,ACHR,ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACHR.W,ACHR.W,ACHR-W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACHV,ACHV,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACI,ACI,ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACIC,ACIC,ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACII,ACII,ACII,Innovator Index Autocallable Income Strategy ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACIO,ACIO,ACIO,Aptus Collared Investment Opportunity ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ACIU,ACIU,ACIU,AC Immune SA - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACIW,ACIW,ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
