replay_date,ticker,regular_investing_score,investing_action_label,investing_style,investing_risk,thesis_quality,investing_data_quality,winner_score,risk_score,signal_price,return_20d,return_60d,return_120d,return_252d,max_favorable_excursion,max_adverse_excursion,hit_invalidation
2020-01-02,AAPL,60,Hold,Value + Improving Trend,Low,Medium,Medium,63,0,72.40052795410156,3.0498,-14.961,20.4899,78.2399,86.4339,-29.0446,True
2020-01-02,NVDA,60,Hold,Value + Improving Trend,Low,Medium,Medium,63,0,5.970752716064453,-1.4505,10.7703,54.1452,118.0242,145.8706,-24.6434,False
2020-01-02,MSFT,60,Hold,Value + Improving Trend,Low,Medium,Medium,57,0,152.15841674804688,5.9831,0.0297,23.8531,39.9428,46.1289,-17.2694,True
2020-01-02,MU,60,Hold,Value + Improving Trend,Low,Medium,Medium,57,0,54.02115249633789,-4.1524,-19.6245,-12.8182,35.7285,36.6312,-43.7985,True
2020-01-02,AVGO,60,Hold,Value + Improving Trend,Low,Medium,Medium,53,0,27.677494049072266,-5.3445,-24.2559,-2.1669,42.0174,42.2282,-51.7138,True
2020-01-02,META,57,Hold,Value + Improving Trend,Low,Medium,Medium,46,0,208.14657592773438,-3.7515,-20.8933,11.555,30.2126,45.2331,-34.6458,True
2020-01-02,AMD,51,Watchlist Only,Watchlist Only,Medium,Weak,Medium,63,28,49.099998474121094,-4.277,-2.5255,6.7006,86.7821,99.5519,-25.1527,False
2020-01-02,TSLA,51,Watchlist Only,Watchlist Only,Medium,Weak,Medium,56,28,28.68400001525879,51.2039,16.7039,123.3184,720.0506,735.2159,-18.5353,False
2020-01-02,AMZN,46,Watchlist Only,Turnaround Candidate,Low,Weak,Medium,46,0,94.90049743652344,5.833,3.4742,44.0667,71.5971,87.1566,-14.3297,True
2020-02-03,MSFT,60,Hold,Value + Improving Trend,Low,Medium,Medium,57,0,165.1935272216797,-5.4024,2.027,16.0752,38.8045,40.6184,-23.7975,True
2020-02-03,AMD,60,Hold,Value + Improving Trend,Low,Medium,Medium,48,0,48.02000045776367,-2.6447,11.7451,44.5231,85.0479,106.6431,-23.4694,False
2020-02-03,NVDA,60,Hold,Value + Improving Trend,Low,Medium,Medium,46,0,5.981208324432373,10.7015,24.2618,69.854,126.0079,145.4408,-24.7751,True
2020-02-03,MU,60,Hold,Value + Improving Trend,Low,Medium,Medium,43,6,52.4509391784668,-3.6817,-7.3447,-6.9914,51.7664,62.2351,-42.116,True
2020-02-03,AAPL,60,Hold,Value + Improving Trend,Low,Medium,Medium,55,16,74.4036865234375,-6.0433,-6.5597,20.6325,76.4476,89.6494,-30.9549,True
2020-02-03,AMZN,54,Watchlist Only,Turnaround Candidate,Low,Weak,Medium,55,8,100.20999908447266,-4.7505,18.3869,50.1302,68.6458,77.2403,-18.8689,True
2020-02-03,TSLA,51,Watchlist Only,Watchlist Only,Medium,Weak,Medium,65,28,52.0,-4.4218,2.6295,81.6667,459.4808,477.1795,-55.0628,False
2020-02-03,META,50,Watchlist Only,Watchlist Only,Low,Weak,Medium,26,6,202.60009765625,-8.9622,-4.8974,12.9879,30.7997,49.2091,-32.8566,True
2020-02-03,AVGO,50,Watchlist Only,Watchlist Only,Low,Weak,Medium,20,16,26.204296112060547,-10.1497,-8.0327,2.936,63.3728,63.4036,-48.9991,True
2020-03-02,NVDA,60,Hold,Value + Improving Trend,Low,Medium,Medium,61,0,6.883759498596191,-3.9214,23.3622,75.763,94.1952,122.6772,-34.6381,True
2020-03-02,MSFT,60,Hold,Value + Improving Trend,Low,Medium,Medium,56,0,164.1343231201172,-7.2689,5.5133,24.8324,36.7247,43.5615,-23.3057,True
2020-03-02,AMD,57,Hold,Value + Improving Trend,Low,Medium,Medium,43,0,47.459999084472656,0.8428,11.1252,74.3995,77.2651,109.0813,-22.5664,False
2020-03-02,AMZN,57,Hold,Value + Improving Trend,Low,Medium,Medium,43,0,97.69750213623047,0.5118,23.3599,68.7541,58.373,81.7984,-16.7824,True
